realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,2000-06-28,211.4984
2019-12-23,2019-12-23,2000-07-05,212.0107
2019-12-23,2019-12-23,2000-07-12,210.8742
2019-12-23,2019-12-23,2000-07-19,212.5366
2019-12-23,2019-12-23,2000-07-26,211.0495
2019-12-23,2019-12-23,2000-08-02,212.7418
2019-12-23,2019-12-23,2000-08-09,214.5621
2019-12-23,2019-12-23,2000-08-16,218.6374
2019-12-23,2019-12-23,2000-08-23,220.1564
2019-12-23,2019-12-23,2000-08-30,217.4738
2019-12-23,2019-12-23,2000-09-06,218.4828
2019-12-23,2019-12-23,2000-09-13,217.5079
2019-12-23,2019-12-23,2000-09-20,224.2341
2019-12-23,2019-12-23,2000-09-27,222.4431
2019-12-23,2019-12-23,2000-10-04,219.3438
2019-12-23,2019-12-23,2000-10-11,219.0676
2019-12-23,2019-12-23,2000-10-18,221.7205
2019-12-23,2019-12-23,2000-10-25,221.2386
2019-12-23,2019-12-23,2000-11-01,220.7117
2019-12-23,2019-12-23,2000-11-08,219.0447
2019-12-23,2019-12-23,2000-11-15,221.3077
2019-12-23,2019-12-23,2000-11-22,224.2964
2019-12-23,2019-12-23,2000-11-29,226.2768
2019-12-23,2019-12-23,2000-12-06,224.6499
2019-12-23,2019-12-23,2000-12-13,224.8454
2019-12-23,2019-12-23,2000-12-20,230.6606
2019-12-23,2019-12-23,2000-12-27,232.6109
2019-12-23,2019-12-23,2001-01-03,231.5906
2019-12-23,2019-12-23,2001-01-10,230.2708
2019-12-23,2019-12-23,2001-01-17,232.0234
2019-12-23,2019-12-23,2001-01-24,232.3305
2019-12-23,2019-12-23,2001-01-31,230.3215
2019-12-23,2019-12-23,2001-02-07,227.759
2019-12-23,2019-12-23,2001-02-14,230.6413
2019-12-23,2019-12-23,2001-02-21,231.4555
2019-12-23,2019-12-23,2001-02-28,228.2844
2019-12-23,2019-12-23,2001-03-07,226.8123
2019-12-23,2019-12-23,2001-03-14,226.6983
2019-12-23,2019-12-23,2001-03-21,227.3304
2019-12-23,2019-12-23,2001-03-28,229.6106
2019-12-23,2019-12-23,2001-04-04,230.3498
2019-12-23,2019-12-23,2001-04-11,230.8193
2019-12-23,2019-12-23,2001-04-18,233.5485
2019-12-23,2019-12-23,2001-04-25,234.1945
2019-12-23,2019-12-23,2001-05-02,235.0577
2019-12-23,2019-12-23,2001-05-09,233.1286
2019-12-23,2019-12-23,2001-05-16,236.5455
2019-12-23,2019-12-23,2001-05-23,237.3477
2019-12-23,2019-12-23,2001-05-30,235.5831
2019-12-23,2019-12-23,2001-06-06,233.7592
2019-12-23,2019-12-23,2001-06-13,232.242
2019-12-23,2019-12-23,2001-06-20,233.184
2019-12-23,2019-12-23,2001-06-27,235.3796
2019-12-23,2019-12-23,2001-07-04,230.8782
2019-12-23,2019-12-23,2001-07-11,230.7183
2019-12-23,2019-12-23,2001-07-18,232.9165
2019-12-23,2019-12-23,2001-07-25,234.6565
2019-12-23,2019-12-23,2001-08-01,233.0416
2019-12-23,2019-12-23,2001-08-08,231.5584
2019-12-23,2019-12-23,2001-08-15,233.589
2019-12-23,2019-12-23,2001-08-22,235.7525
2019-12-23,2019-12-23,2001-08-29,232.4178
2019-12-23,2019-12-23,2001-09-05,231.8454
2019-12-23,2019-12-23,2001-09-12,230.1
2019-12-23,2019-12-23,2001-09-19,233.954
2019-12-23,2019-12-23,2001-09-26,229.7377
2019-12-23,2019-12-23,2001-10-03,228.4076
2019-12-23,2019-12-23,2001-10-10,228.3305
2019-12-23,2019-12-23,2001-10-17,235.2021
2019-12-23,2019-12-23,2001-10-24,236.0999
2019-12-23,2019-12-23,2001-10-31,236.1545
2019-12-23,2019-12-23,2001-11-07,237.7666
2019-12-23,2019-12-23,2001-11-14,235.2589
2019-12-23,2019-12-23,2001-11-21,241.092
2019-12-23,2019-12-23,2001-11-28,243.6554
2019-12-23,2019-12-23,2001-12-05,240.6007
2019-12-23,2019-12-23,2001-12-12,241.6878
2019-12-23,2019-12-23,2001-12-19,243.1151
2019-12-23,2019-12-23,2001-12-26,245.8268
2019-12-23,2019-12-23,2002-01-02,240.7021
2019-12-23,2019-12-23,2002-01-09,242.3817
2019-12-23,2019-12-23,2002-01-16,241.8729
2019-12-23,2019-12-23,2002-01-23,242.1209
2019-12-23,2019-12-23,2002-01-30,240.6531
2019-12-23,2019-12-23,2002-02-06,242.8253
2019-12-23,2019-12-23,2002-02-13,237.3238
2019-12-23,2019-12-23,2002-02-20,241.2217
2019-12-23,2019-12-23,2002-02-27,241.8829
2019-12-23,2019-12-23,2002-03-06,240.2373
2019-12-23,2019-12-23,2002-03-13,236.4023
2019-12-23,2019-12-23,2002-03-20,240.8908
2019-12-23,2019-12-23,2002-03-27,242.1681
2019-12-23,2019-12-23,2002-04-03,242.161
2019-12-23,2019-12-23,2002-04-10,242.5779
2019-12-23,2019-12-23,2002-04-17,249.43
2019-12-23,2019-12-23,2002-04-24,249.8924
2019-12-23,2019-12-23,2002-05-01,245.9043
2019-12-23,2019-12-23,2002-05-08,245.3938
2019-12-23,2019-12-23,2002-05-15,246.043
2019-12-23,2019-12-23,2002-05-22,243.0156
2019-12-23,2019-12-23,2002-05-29,245.8328
2019-12-23,2019-12-23,2002-06-05,240.3378
2019-12-23,2019-12-23,2002-06-12,241.2439
2019-12-23,2019-12-23,2002-06-19,248.0971
2019-12-23,2019-12-23,2002-06-26,246.1725
2019-12-23,2019-12-23,2002-07-03,237.2595
2019-12-23,2019-12-23,2002-07-10,236.5022
2019-12-23,2019-12-23,2002-07-17,240.6725
2019-12-23,2019-12-23,2002-07-24,242.2519
2019-12-23,2019-12-23,2002-07-31,243.6705
2019-12-23,2019-12-23,2002-08-07,244.3319
2019-12-23,2019-12-23,2002-08-14,246.7915
2019-12-23,2019-12-23,2002-08-21,251.2379
2019-12-23,2019-12-23,2002-08-28,252.7956
2019-12-23,2019-12-23,2002-09-04,252.7243
2019-12-23,2019-12-23,2002-09-11,251.7789
2019-12-23,2019-12-23,2002-09-18,255.4341
2019-12-23,2019-12-23,2002-09-25,254.3094
2019-12-23,2019-12-23,2002-10-02,252.733
2019-12-23,2019-12-23,2002-10-09,252.0617
2019-12-23,2019-12-23,2002-10-16,257.6226
2019-12-23,2019-12-23,2002-10-23,257.3836
2019-12-23,2019-12-23,2002-10-30,256.4178
2019-12-23,2019-12-23,2002-11-06,252.7215
2019-12-23,2019-12-23,2002-11-13,250.2596
2019-12-23,2019-12-23,2002-11-20,252.1108
2019-12-23,2019-12-23,2002-11-27,254.2774
2019-12-23,2019-12-23,2002-12-04,253.4062
2019-12-23,2019-12-23,2002-12-11,255.808
2019-12-23,2019-12-23,2002-12-18,258.749
2019-12-23,2019-12-23,2002-12-25,257.142
2019-12-23,2019-12-23,2003-01-01,252.9188
2019-12-23,2019-12-23,2003-01-08,253.1773
2019-12-23,2019-12-23,2003-01-15,252.4444
2019-12-23,2019-12-23,2003-01-22,252.7502
2019-12-23,2019-12-23,2003-01-29,250.3384
2019-12-23,2019-12-23,2003-02-05,244.8068
2019-12-23,2019-12-23,2003-02-12,244.8496
2019-12-23,2019-12-23,2003-02-19,249.6097
2019-12-23,2019-12-23,2003-02-26,249.74
2019-12-23,2019-12-23,2003-03-05,246.4083
2019-12-23,2019-12-23,2003-03-12,241.4636
2019-12-23,2019-12-23,2003-03-19,246.0691
2019-12-23,2019-12-23,2003-03-26,243.053
2019-12-23,2019-12-23,2003-04-02,241.8487
2019-12-23,2019-12-23,2003-04-09,240.3792
2019-12-23,2019-12-23,2003-04-16,240.0729
2019-12-23,2019-12-23,2003-04-23,240.523
2019-12-23,2019-12-23,2003-04-30,240.4942
2019-12-23,2019-12-23,2003-05-07,245.716
2019-12-23,2019-12-23,2003-05-14,247.4931
2019-12-23,2019-12-23,2003-05-21,248.4553
2019-12-23,2019-12-23,2003-05-28,252.1775
2019-12-23,2019-12-23,2003-06-04,244.1851
2019-12-23,2019-12-23,2003-06-11,244.2501
2019-12-23,2019-12-23,2003-06-18,247.7482
2019-12-23,2019-12-23,2003-06-25,244.2561
2019-12-23,2019-12-23,2003-07-02,244.5702
2019-12-23,2019-12-23,2003-07-09,243.0504
2019-12-23,2019-12-23,2003-07-16,245.809
2019-12-23,2019-12-23,2003-07-23,246.6308
2019-12-23,2019-12-23,2003-07-30,249.0892
2019-12-23,2019-12-23,2003-08-06,243.9029
2019-12-23,2019-12-23,2003-08-13,244.0894
2019-12-23,2019-12-23,2003-08-20,247.1192
2019-12-23,2019-12-23,2003-08-27,245.4574
2019-12-23,2019-12-23,2003-09-03,243.1582
2019-12-23,2019-12-23,2003-09-10,242.1756
2019-12-23,2019-12-23,2003-09-17,244.3691
2019-12-23,2019-12-23,2003-09-24,242.8787
2019-12-23,2019-12-23,2003-10-01,238.9815
2019-12-23,2019-12-23,2003-10-08,238.1996
2019-12-23,2019-12-23,2003-10-15,240.7465
2019-12-23,2019-12-23,2003-10-22,239.6095
2019-12-23,2019-12-23,2003-10-29,240.0733
2019-12-23,2019-12-23,2003-11-05,268.051
2019-12-23,2019-12-23,2003-11-12,269.1656
2019-12-23,2019-12-23,2003-11-19,274.2851
2019-12-23,2019-12-23,2003-11-26,273.484
2019-12-23,2019-12-23,2003-12-03,271.7663
2019-12-23,2019-12-23,2003-12-10,273.2918
2019-12-23,2019-12-23,2003-12-17,285.6945
2019-12-23,2019-12-23,2003-12-24,288.7025
2019-12-23,2019-12-23,2003-12-31,284.9999
2019-12-23,2019-12-23,2004-01-07,284.9032
2019-12-23,2019-12-23,2004-01-14,283.7691
2019-12-23,2019-12-23,2004-01-21,285.1889
2019-12-23,2019-12-23,2004-01-28,284.2615
2019-12-23,2019-12-23,2004-02-04,280.0042
2019-12-23,2019-12-23,2004-02-11,279.0915
2019-12-23,2019-12-23,2004-02-18,286.1407
2019-12-23,2019-12-23,2004-02-25,284.4576
2019-12-23,2019-12-23,2004-03-03,278.8079
2019-12-23,2019-12-23,2004-03-10,277.5213
2019-12-23,2019-12-23,2004-03-17,279.5891
2019-12-23,2019-12-23,2004-03-24,282.3065
2019-12-23,2019-12-23,2004-03-31,279.787
2019-12-23,2019-12-23,2004-04-07,280.6418
2019-12-23,2019-12-23,2004-04-14,281.7522
2019-12-23,2019-12-23,2004-04-21,281.4758
2019-12-23,2019-12-23,2004-04-28,282.8104
2019-12-23,2019-12-23,2004-05-05,281.1405
2019-12-23,2019-12-23,2004-05-12,280.2458
2019-12-23,2019-12-23,2004-05-19,287.1295
2019-12-23,2019-12-23,2004-05-26,287.2437
2019-12-23,2019-12-23,2004-06-02,286.5375
2019-12-23,2019-12-23,2004-06-09,286.682
2019-12-23,2019-12-23,2004-06-16,287.6746
2019-12-23,2019-12-23,2004-06-23,289.5526
2019-12-23,2019-12-23,2004-06-30,285.1753
2019-12-23,2019-12-23,2004-07-07,285.8647
2019-12-23,2019-12-23,2004-07-14,286.6489
2019-12-23,2019-12-23,2004-07-21,289.0609
2019-12-23,2019-12-23,2004-07-28,289.0708
2019-12-23,2019-12-23,2004-08-04,287.3809
2019-12-23,2019-12-23,2004-08-11,286.1525
2019-12-23,2019-12-23,2004-08-18,291.13
2019-12-23,2019-12-23,2004-08-25,293.0944
2019-12-23,2019-12-23,2004-09-01,290.8598
2019-12-23,2019-12-23,2004-09-08,290.4341
2019-12-23,2019-12-23,2004-09-15,293.9414
2019-12-23,2019-12-23,2004-09-22,295.1131
2019-12-23,2019-12-23,2004-09-29,291.5105
2019-12-23,2019-12-23,2004-10-06,290.8921
2019-12-23,2019-12-23,2004-10-13,288.3961
2019-12-23,2019-12-23,2004-10-20,292.6528
2019-12-23,2019-12-23,2004-10-27,291.675
2019-12-23,2019-12-23,2004-11-03,291.2816
2019-12-23,2019-12-23,2004-11-10,286.5249
2019-12-23,2019-12-23,2004-11-17,287.1031
2019-12-23,2019-12-23,2004-11-24,288.047
2019-12-23,2019-12-23,2004-12-01,287.698
2019-12-23,2019-12-23,2004-12-08,289.208
2019-12-23,2019-12-23,2004-12-15,292.7075
2019-12-23,2019-12-23,2004-12-22,298.845
2019-12-23,2019-12-23,2004-12-29,309.2526
2019-12-23,2019-12-23,2005-01-05,309.8038
2019-12-23,2019-12-23,2005-01-12,306.9578
2019-12-23,2019-12-23,2005-01-19,304.6441
2019-12-23,2019-12-23,2005-01-26,303.5613
2019-12-23,2019-12-23,2005-02-02,298.6882
2019-12-23,2019-12-23,2005-02-09,294.8855
2019-12-23,2019-12-23,2005-02-16,301.999
2019-12-23,2019-12-23,2005-02-23,301.8578
2019-12-23,2019-12-23,2005-03-02,301.8778
2019-12-23,2019-12-23,2005-03-09,298.7474
2019-12-23,2019-12-23,2005-03-16,300.4203
2019-12-23,2019-12-23,2005-03-23,299.7638
2019-12-23,2019-12-23,2005-03-30,300.9294
2019-12-23,2019-12-23,2005-04-06,300.601
2019-12-23,2019-12-23,2005-04-13,298.9186
2019-12-23,2019-12-23,2005-04-20,303.6327
2019-12-23,2019-12-23,2005-04-27,304.1406
2019-12-23,2019-12-23,2005-05-04,299.4658
2019-12-23,2019-12-23,2005-05-11,296.7521
2019-12-23,2019-12-23,2005-05-18,300.1739
2019-12-23,2019-12-23,2005-05-25,299.0567
2019-12-23,2019-12-23,2005-06-01,297.7963
2019-12-23,2019-12-23,2005-06-08,298.4445
2019-12-23,2019-12-23,2005-06-15,301.7994
2019-12-23,2019-12-23,2005-06-22,304.0604
2019-12-23,2019-12-23,2005-06-29,301.5013
2019-12-23,2019-12-23,2005-07-06,300.0395
2019-12-23,2019-12-23,2005-07-13,299.9314
2019-12-23,2019-12-23,2005-07-20,303.5946
2019-12-23,2019-12-23,2005-07-27,304.1298
2019-12-23,2019-12-23,2005-08-03,301.4617
2019-12-23,2019-12-23,2005-08-10,300.7673
2019-12-23,2019-12-23,2005-08-17,302.2767
2019-12-23,2019-12-23,2005-08-24,302.3245
2019-12-23,2019-12-23,2005-08-31,299.699
2019-12-23,2019-12-23,2005-09-07,299.868
2019-12-23,2019-12-23,2005-09-14,304.1306
2019-12-23,2019-12-23,2005-09-21,305.1222
2019-12-23,2019-12-23,2005-09-28,304.6842
2019-12-23,2019-12-23,2005-10-05,294.2756
2019-12-23,2019-12-23,2005-10-12,293.3099
2019-12-23,2019-12-23,2005-10-19,295.4448
2019-12-23,2019-12-23,2005-10-26,297.8618
2019-12-23,2019-12-23,2005-11-02,299.6322
2019-12-23,2019-12-23,2005-11-09,297.4328
2019-12-23,2019-12-23,2005-11-16,301.5517
2019-12-23,2019-12-23,2005-11-23,302.286
2019-12-23,2019-12-23,2005-11-30,299.8473
2019-12-23,2019-12-23,2005-12-07,299.4228
2019-12-23,2019-12-23,2005-12-14,305.9521
2019-12-23,2019-12-23,2005-12-21,305.6113
2019-12-23,2019-12-23,2005-12-28,306.4953
2019-12-23,2019-12-23,2006-01-04,304.2631
2019-12-23,2019-12-23,2006-01-11,302.0806
2019-12-23,2019-12-23,2006-01-18,305.473
2019-12-23,2019-12-23,2006-01-25,304.7451
2019-12-23,2019-12-23,2006-02-01,298.4848
2019-12-23,2019-12-23,2006-02-08,297.1251
2019-12-23,2019-12-23,2006-02-15,298.822
2019-12-23,2019-12-23,2006-02-22,297.3046
2019-12-23,2019-12-23,2006-03-01,293.9839
2019-12-23,2019-12-23,2006-03-08,291.7365
2019-12-23,2019-12-23,2006-03-15,291.285
2019-12-23,2019-12-23,2006-03-22,293.7011
2019-12-23,2019-12-23,2006-03-29,293.4192
2019-12-23,2019-12-23,2006-04-05,290.4944
2019-12-23,2019-12-23,2006-04-12,293.7656
2019-12-23,2019-12-23,2006-04-19,296.1431
2019-12-23,2019-12-23,2006-04-26,298.3039
2019-12-23,2019-12-23,2006-05-03,296.8492
2019-12-23,2019-12-23,2006-05-10,297.5609
2019-12-23,2019-12-23,2006-05-17,303.1199
2019-12-23,2019-12-23,2006-05-24,303.8517
2019-12-23,2019-12-23,2006-05-31,301.3104
2019-12-23,2019-12-23,2006-06-07,297.9993
2019-12-23,2019-12-23,2006-06-14,301.4235
2019-12-23,2019-12-23,2006-06-21,296.0589
2019-12-23,2019-12-23,2006-06-28,296.324
2019-12-23,2019-12-23,2006-07-05,297.0874
2019-12-23,2019-12-23,2006-07-12,295.345
2019-12-23,2019-12-23,2006-07-19,302.2574
2019-12-23,2019-12-23,2006-07-26,301.6934
2019-12-23,2019-12-23,2006-08-02,299.4262
2019-12-23,2019-12-23,2006-08-09,300.066
2019-12-23,2019-12-23,2006-08-16,303.5728
2019-12-23,2019-12-23,2006-08-23,306.0491
2019-12-23,2019-12-23,2006-08-30,303.5455
2019-12-23,2019-12-23,2006-09-06,303.901
2019-12-23,2019-12-23,2006-09-13,302.6709
2019-12-23,2019-12-23,2006-09-20,304.0174
2019-12-23,2019-12-23,2006-09-27,302.716
2019-12-23,2019-12-23,2006-10-04,300.4788
2019-12-23,2019-12-23,2006-10-11,300.6515
2019-12-23,2019-12-23,2006-10-18,300.5073
2019-12-23,2019-12-23,2006-10-25,299.9104
2019-12-23,2019-12-23,2006-11-01,300.3246
2019-12-23,2019-12-23,2006-11-08,300.5248
2019-12-23,2019-12-23,2006-11-15,302.5616
2019-12-23,2019-12-23,2006-11-22,304.5389
2019-12-23,2019-12-23,2006-11-29,306.1588
2019-12-23,2019-12-23,2006-12-06,309.0695
2019-12-23,2019-12-23,2006-12-13,313.0716
2019-12-23,2019-12-23,2006-12-20,314.5801
2019-12-23,2019-12-23,2006-12-27,316.7764
2019-12-23,2019-12-23,2007-01-03,316.0284
2019-12-23,2019-12-23,2007-01-10,315.7928
2019-12-23,2019-12-23,2007-01-17,317.5431
2019-12-23,2019-12-23,2007-01-24,318.4012
2019-12-23,2019-12-23,2007-01-31,312.6667
2019-12-23,2019-12-23,2007-02-07,312.0217
2019-12-23,2019-12-23,2007-02-14,315.8571
2019-12-23,2019-12-23,2007-02-21,312.4658
2019-12-23,2019-12-23,2007-02-28,303.5393
2019-12-23,2019-12-23,2007-03-07,303.4996
2019-12-23,2019-12-23,2007-03-14,302.1864
2019-12-23,2019-12-23,2007-03-21,303.8202
2019-12-23,2019-12-23,2007-03-28,302.4341
2019-12-23,2019-12-23,2007-04-04,304.8292
2019-12-23,2019-12-23,2007-04-11,305.9897
2019-12-23,2019-12-23,2007-04-18,309.1405
2019-12-23,2019-12-23,2007-04-25,310.1908
2019-12-23,2019-12-23,2007-05-02,308.838
2019-12-23,2019-12-23,2007-05-09,308.2339
2019-12-23,2019-12-23,2007-05-16,310.29
2019-12-23,2019-12-23,2007-05-23,310.195
2019-12-23,2019-12-23,2007-05-30,312.7654
2019-12-23,2019-12-23,2007-06-06,311.7689
2019-12-23,2019-12-23,2007-06-13,313.8356
2019-12-23,2019-12-23,2007-06-20,317.4798
2019-12-23,2019-12-23,2007-06-27,316.0221
2019-12-23,2019-12-23,2007-07-04,315.7639
2019-12-23,2019-12-23,2007-07-11,316.0984
2019-12-23,2019-12-23,2007-07-18,317.5036
2019-12-23,2019-12-23,2007-07-25,316.8658
2019-12-23,2019-12-23,2007-08-01,312.8935
2019-12-23,2019-12-23,2007-08-08,314.3077
2019-12-23,2019-12-23,2007-08-15,316.7837
2019-12-23,2019-12-23,2007-08-22,317.4036
2019-12-23,2019-12-23,2007-08-29,319.6699
